Galaxy,N_points,R_max,V_max,kappa1,RMS_resid,RMS_frac,Poly_deg,R_col,V_col
CamB,9,1.79,20.1,0.9925494053877201,0.1497569517068268,0.007450594612279939,3,R,V_obs
D564-8,6,3.07,25.0,0.9928010568735235,0.1799735781619135,0.00719894312647654,3,R,V_obs
D631-7,16,7.19,58.5,0.981882938398014,1.0598481037161789,0.018117061601985965,3,R,V_obs
DDO064,14,2.98,46.9,0.9567270836994072,2.029499774497801,0.043272916300592774,3,R,V_obs
DDO154,12,5.92,48.2,0.9934450918247444,0.31594657404732224,0.006554908175255648,3,R,V_obs
DDO161,31,13.37,67.5,0.9848137066085192,1.0250748039249509,0.015186293391480754,3,R,V_obs
DDO168,10,4.12,55.0,0.9813717618686182,1.0245530972259977,0.01862823813138178,3,R,V_obs
DDO170,8,12.33,62.2,0.9930892329353429,0.4298497114216681,0.0069107670646570436,3,R,V_obs
ESO079-G014,15,16.67,178.0,0.9789943848719743,3.7389994927885706,0.02100561512802568,3,R,V_obs
ESO116-G012,15,9.86,112.0,0.982080650882373,2.00696710117423,0.01791934911762705,3,R,V_obs
ESO444-G084,7,4.44,63.1,0.9855958141227774,0.9089041288527443,0.014404185877222572,3,R,V_obs
ESO563-G021,30,42.41,321.0,0.9493595634930099,16.255580118743843,0.05064043650699017,3,R,V_obs
F561-1,6,9.66,50.4,0.9833753602262337,0.8378818445978176,0.01662463977376622,3,R,V_obs
F563-1,17,20.1,112.5,0.9184466396934639,9.17475303448532,0.08155336030653618,3,R,V_obs
F563-V1,6,7.87,29.5,0.9844892645491305,0.4575666958006479,0.015510735450869421,3,R,V_obs
F563-V2,10,10.47,118.0,0.9761716683862739,2.8117431304196803,0.023828331613726102,3,R,V_obs
F565-V2,7,8.8,83.1,0.9892265686814394,0.8952721425723833,0.01077343131856057,3,R,V_obs
F568-1,12,13.23,142.0,0.9879518674718674,1.7108348189948324,0.012048132528132622,3,R,V_obs
F568-3,18,17.98,120.0,0.9701273392953118,3.584719284562587,0.029872660704688227,3,R,V_obs
F568-V1,15,17.63,118.0,0.9706039729767736,3.4687311887407217,0.029396027023226454,3,R,V_obs
F571-8,13,15.55,144.0,0.9738056879524181,3.771980934851794,0.0261943120475819,3,R,V_obs
F571-V1,7,13.59,84.3,0.9880659571109395,1.0060398155478067,0.01193404288906058,3,R,V_obs
F574-1,14,12.6,99.7,0.9807728553227678,1.916946324320053,0.019227144677232227,3,R,V_obs
F579-V1,14,15.16,114.0,0.9389091726420885,6.964354318801916,0.06109082735791154,3,R,V_obs
F583-1,25,16.26,86.9,0.9733074590213769,2.3195818110423407,0.02669254097862302,3,R,V_obs
F583-4,12,7.29,69.9,0.9762851377373809,1.6576688721570716,0.023714862262619048,3,R,V_obs
IC2574,34,10.23,67.5,0.973057825171637,1.8185968009145042,0.026942174828363023,3,R,V_obs
IC4202      1,32,25.9,250.0,0.9566413803141028,10.839654921474285,0.04335861968589714,3,R,V_obs
KK98-251,15,3.13,34.6,0.9817579236604095,0.6311758413498301,0.018242076339590463,3,R,V_obs
NGC0024,29,11.27,110.0,0.9460593063286548,5.93347630384798,0.053940693671345276,3,R,V_obs
NGC0055,21,13.5,87.4,0.988576887816077,0.9983800048748657,0.011423112183922947,3,R,V_obs
NGC0100,21,9.62,91.2,0.9889400343846659,1.0086688641184622,0.011059965615334016,3,R,V_obs
NGC0247,26,14.54,108.0,0.9724237968896282,2.9782299359201536,0.027576203110371792,3,R,V_obs
NGC0289,28,71.12,194.0,0.9578095172648595,8.184953650617253,0.04219048273514048,3,R,V_obs
NGC0300,25,11.8,97.0,0.9680391997380541,3.100197625408756,0.031960800261945935,3,R,V_obs
NGC0801,13,59.82,238.0,0.8888037224308832,26.4647140614498,0.1111962775691168,3,R,V_obs
NGC0891,18,17.11,234.0,0.9674786593405369,7.609993714314367,0.032521340659463105,3,R,V_obs
NGC1003,36,30.24,115.0,0.9589653283996052,4.718987234045392,0.041034671600394715,3,R,V_obs
NGC1090,24,30.09,176.0,0.9471402738021814,9.303311810816082,0.052859726197818646,3,R,V_obs
NGC1705,14,6.0,73.2,0.9717618240987451,2.067034475971857,0.028238175901254877,3,R,V_obs
NGC2366,26,6.06,53.7,0.9821031149920069,0.9610627249292298,0.017896885007993107,3,R,V_obs
NGC2403,73,20.87,136.0,0.9479337458767638,7.081010560760127,0.05206625412323623,3,R,V_obs
NGC2683,11,34.62,212.0,0.9580886978588226,8.885196053929619,0.04191130214117745,3,R,V_obs
NGC2841,50,63.64,323.0,0.978302749682423,7.008211852577366,0.021697250317576987,3,R,V_obs
NGC2903,34,24.96,216.0,0.8908459634606278,23.57727189250438,0.10915403653937214,3,R,V_obs
NGC2915,30,10.04,86.5,0.9602117664247555,3.441682204258655,0.039788233575244566,3,R,V_obs
NGC2955,24,35.43,276.0,0.9509270802373037,13.544125854504193,0.04907291976269635,3,R,V_obs
NGC2976,27,2.27,88.7,0.9766938589438011,2.067254711684845,0.023306141056198926,3,R,V_obs
NGC2998,13,42.28,214.0,0.9193384021858726,17.261581932223272,0.08066159781412745,3,R,V_obs
NGC3109,25,6.45,67.3,0.9851617305089381,0.9986155367484677,0.014838269491061928,3,R,V_obs
NGC3198,43,44.08,157.0,0.9333362963114521,10.466201479102024,0.06666370368854792,3,R,V_obs
NGC3521,41,17.74,220.0,0.9601859448494419,8.759092133122797,0.03981405515055817,3,R,V_obs
NGC3726,12,32.52,169.0,0.9506130026248214,8.346402556405176,0.04938699737517856,3,R,V_obs
NGC3741,21,7.0,51.6,0.9727732689274677,1.4048993233426619,0.027226731072532206,3,R,V_obs
NGC3769,12,37.16,126.0,0.95175200428515,6.079247460071091,0.04824799571484993,3,R,V_obs
NGC3877,13,11.35,171.0,0.9787513049899097,3.633526846725451,0.021248695010090357,3,R,V_obs
NGC3893,10,19.05,194.0,0.975686393907502,4.716839581944617,0.024313606092498028,3,R,V_obs
NGC3917,17,14.86,138.0,0.9821291440480815,2.4661781213647522,0.017870855951918493,3,R,V_obs
NGC3949,7,7.07,169.0,0.9918817025221461,1.371992273757304,0.00811829747785387,3,R,V_obs
NGC3953,8,15.68,224.0,0.9936195789335776,1.4292143188786295,0.006380421066422453,3,R,V_obs
NGC3972,10,8.72,134.0,0.980892795079991,2.560365459281195,0.019107204920008915,3,R,V_obs
NGC3992,9,46.02,272.0,0.9863579351063498,3.7106416510728453,0.013642064893650167,3,R,V_obs
NGC4010,12,10.47,129.0,0.984597110082678,1.9869727993345359,0.015402889917321983,3,R,V_obs
NGC4013,36,31.01,198.0,0.9722976721998674,5.485060904426262,0.027702327800132636,3,R,V_obs
NGC4051,7,12.19,161.0,0.9632806849362442,5.911809725264684,0.0367193150637558,3,R,V_obs
NGC4068,6,2.33,41.9,0.9895794967730986,0.4366190852071689,0.010420503226901407,3,R,V_obs
NGC4085,7,6.2,136.0,0.989218867950695,1.4662339587054745,0.01078113204930496,3,R,V_obs
NGC4088,12,21.48,182.0,0.9798148901366626,3.6736899951274196,0.02018510986333747,3,R,V_obs
NGC4100,24,22.76,195.0,0.9714855466653904,5.560318400248867,0.02851445333460957,3,R,V_obs
NGC4138,7,18.58,195.0,0.9827426083731874,3.365191367228468,0.017257391626812654,3,R,V_obs
NGC4157,17,29.61,201.0,0.9429901964000452,11.458970523590908,0.057009803599954764,3,R,V_obs
NGC4183,23,21.02,115.0,0.9831564050145564,1.9370134233260146,0.016843594985443605,3,R,V_obs
NGC4214,14,5.63,80.6,0.9907607654964519,0.7446823009859762,0.009239234503548093,3,R,V_obs
NGC4217,19,16.72,191.0,0.9595872292512835,7.718839213004854,0.04041277074871651,3,R,V_obs
NGC4389,6,5.32,110.0,0.9937399823993263,0.6886019360741064,0.0062600176006736945,3,R,V_obs
NGC4559,32,20.97,124.0,0.9703843479863405,3.672340849693775,0.029615652013659476,3,R,V_obs
NGC5005,18,11.47,265.0,0.9858231444820098,3.7568667122673998,0.014176855517990188,3,R,V_obs
NGC5033,22,44.59,225.0,0.9797312342941261,4.560472283821619,0.020268765705873864,3,R,V_obs
NGC5055,28,54.59,206.0,0.9471171973448282,10.893857346965394,0.05288280265517181,3,R,V_obs
NGC5371,19,46.24,242.0,0.9745204885965845,6.16604175962655,0.025479511403415495,3,R,V_obs
NGC5585,24,10.96,92.3,0.970703904391733,2.704029624643037,0.029296095608266924,3,R,V_obs
NGC5907,19,50.33,235.0,0.9843489285271944,3.6780017961093177,0.015651071472805606,3,R,V_obs
NGC5985,33,34.72,305.0,0.9757749054521742,7.388653837086884,0.02422509454782585,3,R,V_obs
NGC6015,44,29.23,166.0,0.9191783616821064,13.41639196077034,0.08082163831789362,3,R,V_obs
NGC6195     1,23,36.43,258.0,0.9552394270931878,11.548227809957549,0.04476057290681221,3,R,V_obs
NGC6503,31,23.5,121.0,0.9595645590512069,4.892688354803969,0.04043544094879313,3,R,V_obs
NGC6674,15,72.41,291.0,0.94800345277661,15.130995242006472,0.051996547223389936,3,R,V_obs
NGC6946,58,20.4,181.0,0.9638177094433116,6.548994590760601,0.0361822905566884,3,R,V_obs
NGC7331,36,36.31,257.0,0.9749887257163568,6.427897490896326,0.025011274283643293,3,R,V_obs
NGC7793,46,7.87,116.0,0.9472695513183311,6.116732047073588,0.052730448681668866,3,R,V_obs
NGC7814,18,19.53,265.0,0.9859378473520585,3.726470451704497,0.014062152647941497,3,R,V_obs
PGC51017,6,3.63,20.5,0.9969016165737953,0.06351686023719724,0.0030983834262047435,3,R,V_obs
UGC00128,22,53.75,134.0,0.9532823451798262,6.26016574590328,0.04671765482017373,3,R,V_obs
UGC00191,9,9.98,83.85,0.9637012611831024,3.0436492497968595,0.036298738816897554,3,R,V_obs
UGC00731,12,10.91,74.0,0.9830359419383349,1.2553402965632225,0.01696405806166517,3,R,V_obs
UGC01230,11,36.54,113.0,0.912808138486093,9.852680351071491,0.08719186151390701,3,R,V_obs
UGC01281,25,4.99,56.9,0.9870584654051568,0.7363733184465747,0.012941534594843141,3,R,V_obs
UGC02259,8,8.14,90.0,0.9898213664528118,0.9160770192469339,0.010178633547188154,3,R,V_obs
UGC02455,8,4.03,61.0,0.9897562858743163,0.6248665616667078,0.010243714125683735,3,R,V_obs
UGC02487,17,80.38,383.0,0.9826848076436397,6.631718672485996,0.017315192356360302,3,R,V_obs
UGC02885,19,74.07,305.0,0.9683066711689893,9.666465293458256,0.03169332883101068,3,R,V_obs
UGC02916,43,38.0,218.0,0.9771949775584745,4.971494892252557,0.02280502244152549,3,R,V_obs
UGC02953,115,62.39,319.0,0.9545527577493684,14.49767027795148,0.0454472422506316,3,R,V_obs
UGC03205,48,40.04,237.0,0.9271994274178531,17.253735701968804,0.07280057258214685,3,R,V_obs
UGC03546,30,29.23,262.0,0.968712104826593,8.197428535432637,0.031287895173407014,3,R,V_obs
UGC03580,47,27.06,131.0,0.9639734334392195,4.719480219462245,0.036026566560780494,3,R,V_obs
UGC04278,25,6.69,92.8,0.9659903838511205,3.156092378616025,0.03400961614887958,3,R,V_obs
UGC04305,22,5.52,37.3,0.940754677621296,2.2098505247256575,0.05924532237870396,3,R,V_obs
UGC04325,8,5.59,92.7,0.9860347656834968,1.2945772211398445,0.013965234316503176,3,R,V_obs
UGC04483,8,1.21,24.3,0.9719057911497913,0.6826892750600714,0.028094208850208698,3,R,V_obs
UGC04499,9,8.18,74.3,0.9867952167533152,0.9811153952286802,0.013204783246684794,3,R,V_obs
UGC05005,11,28.61,100.0,0.983720826578133,1.6279173421866966,0.016279173421866966,3,R,V_obs
UGC05253,73,53.29,248.0,0.9876537927260857,3.0618594039307494,0.012346207273914313,3,R,V_obs
UGC05414,6,4.11,61.4,0.9930426104109842,0.42718372076557076,0.0069573895890158105,3,R,V_obs
UGC05716,12,12.37,74.7,0.9879821688922902,0.8977319837459266,0.01201783110770986,3,R,V_obs
UGC05721,23,6.74,82.6,0.951490407808935,4.006892314981968,0.048509592191064994,3,R,V_obs
UGC05750,11,22.85,78.9,0.9916097850412097,0.6619879602485543,0.008390214958790295,3,R,V_obs
UGC05764,10,3.62,55.8,0.9819636498246768,1.0064283397830345,0.0180363501753232,3,R,V_obs
UGC05829,11,6.91,68.6,0.983754889784527,1.1144145607814504,0.01624511021547304,3,R,V_obs
UGC05918,8,4.46,44.5,0.9906589861773334,0.41567511510866395,0.009341013822666605,3,R,V_obs
UGC05986,15,9.41,116.0,0.9940406716355494,0.6912820902762716,0.005959328364450617,3,R,V_obs
UGC06399,9,7.85,87.6,0.9926476249995809,0.6440680500367084,0.007352375000419046,3,R,V_obs
UGC06446,17,10.22,84.9,0.964156086592009,3.043148248338434,0.03584391340799097,3,R,V_obs
UGC06614,13,64.59,205.0,0.9714398592751587,5.854828848592465,0.028560140724841292,3,R,V_obs
UGC06628,7,7.69,42.3,0.9818495244356373,0.7677651163725387,0.01815047556436262,3,R,V_obs
UGC06667,9,7.85,85.7,0.992441688935932,0.647747258190627,0.007558311064067992,3,R,V_obs
UGC06786,45,34.05,229.0,0.9823555087059435,4.040588506338961,0.017644491294056597,3,R,V_obs
UGC06787,71,37.19,276.0,0.934177150369754,18.167106497947902,0.06582284963024602,3,R,V_obs
UGC06818,8,6.98,74.4,0.9649518385547362,2.6075832115276283,0.03504816144526382,3,R,V_obs
UGC06917,11,10.47,111.0,0.9895506300113424,1.1598800687409938,0.010449369988657602,3,R,V_obs
UGC06923,6,5.16,81.1,0.9754491786911501,1.99107160814773,0.02455082130884994,3,R,V_obs
UGC06930,10,16.61,109.0,0.9752172927579089,2.7013150893879248,0.024782707242091053,3,R,V_obs
UGC06973,9,7.85,180.0,0.9928074292521475,1.2946627346134467,0.007192570747852482,3,R,V_obs
UGC06983,17,15.68,113.0,0.9645610215033462,4.0046045701218835,0.03543897849665384,3,R,V_obs
UGC07089,12,9.16,79.1,0.983960899556168,1.2686928451071118,0.01603910044383201,3,R,V_obs
UGC07125,13,18.68,65.6,0.9741402304134366,1.6964008848785623,0.025859769586563452,3,R,V_obs
UGC07151,11,5.5,76.2,0.9760692287812991,1.8235247668650105,0.023930771218700925,3,R,V_obs
UGC07261,7,6.67,76.1,0.9826504427946899,1.320301303324095,0.017349557205310052,3,R,V_obs
UGC07323,10,5.82,85.6,0.9895826019685863,0.8917292714890187,0.01041739803141377,3,R,V_obs
UGC07399,10,6.13,106.0,0.9850914086479187,1.5803106833206206,0.014908591352081326,3,R,V_obs
UGC07524,31,10.69,83.8,0.9841331641811486,1.3296408416197438,0.015866835818851358,3,R,V_obs
UGC07559,7,2.53,32.1,0.9941951001547334,0.18633728503305574,0.0058048998452665335,3,R,V_obs
UGC07577,9,1.69,17.8,0.9967131056524243,0.05850671938684657,0.0032868943475756495,3,R,V_obs
UGC07603,12,4.11,64.0,0.9873349191693478,0.810565173161742,0.01266508083065222,3,R,V_obs
UGC07608,8,4.78,69.3,0.9874061311525136,0.8727551111308082,0.01259386884748641,3,R,V_obs
UGC07690,7,4.13,60.7,0.9782349429258064,1.321138964403555,0.021765057074193656,3,R,V_obs
UGC07866,7,2.32,33.1,0.993639571902883,0.21053017001457353,0.006360428097117025,3,R,V_obs
UGC08286,17,8.04,84.3,0.9643917658372453,3.0017741399202253,0.03560823416275475,3,R,V_obs
UGC08490,30,10.15,80.1,0.9651505134668465,2.7914438713055905,0.034849486533153444,3,R,V_obs
UGC08550,11,5.36,57.8,0.9600897785718395,2.3068107985476765,0.039910221428160496,3,R,V_obs
UGC08699,41,25.7,202.0,0.9527779553392373,9.538853021474065,0.0472220446607627,3,R,V_obs
UGC08837,8,4.2,48.0,0.9889313674873874,0.5312943606054048,0.0110686325126126,3,R,V_obs
UGC09037,22,27.96,160.0,0.9714980343770083,4.560314499678659,0.02850196562299162,3,R,V_obs
UGC09133,68,108.31,289.0,0.9786215656905564,6.178367515429227,0.02137843430944369,3,R,V_obs
UGC10310,7,7.74,73.2,0.9918646327550559,0.595508882329907,0.008135367244944083,3,R,V_obs
UGC11455,36,41.93,291.0,0.9674264883716626,9.478891883846206,0.03257351162833748,3,R,V_obs
UGC11557,12,10.56,85.0,0.9684698708692249,2.6800609761158904,0.03153012913077518,3,R,V_obs
UGC11820,10,15.82,84.45,0.9340079472956917,5.573028850878841,0.06599205270430836,3,R,V_obs
UGC11914,65,9.83,305.0,0.9627590112507884,11.358501568509523,0.03724098874921155,3,R,V_obs
UGC12506    1,31,49.99,255.0,0.9687243709100958,7.975285417925566,0.03127562908990418,3,R,V_obs
UGC12632,15,10.66,73.2,0.9846114025311172,1.1264453347222219,0.015388597468882811,3,R,V_obs
UGC12732,16,15.4,98.0,0.9875879214781144,1.2163836951447882,0.012412078521885594,3,R,V_obs
UGCA281,7,1.08,29.5,0.9902609124205922,0.28730308359252943,0.009739087579407777,3,R,V_obs
UGCA442,8,6.33,57.8,0.9934059139987785,0.3811381708705997,0.006594086001221448,3,R,V_obs
UGCA444,36,2.62,38.3,0.9785156605235944,0.8228502019463356,0.021484339476405632,3,R,V_obs
